Number of records, Number of threads, number of request/second, Action(methods), Total time in nano second), ProjectType
300,1,256,ALL,745497100,WEB_FLUX
300,1,256,ALL,62407000,WEB_FLUX
300,1,256,ALL,68194600,WEB_FLUX
300,1,256,ALL,73513200,WEB_FLUX
300,1,256,ALL,148819300,WEB_FLUX
300,1,256,ALL,79180500,WEB_FLUX
300,1,256,ALL,144972900,WEB_FLUX
300,1,256,ALL,134215300,WEB_FLUX
300,1,256,ALL,94766300,WEB_FLUX
300,1,256,ALL,80544800,WEB_FLUX

300,1,512,ALL,738486500,WEB_FLUX
300,1,512,ALL,77823700,WEB_FLUX
300,1,512,ALL,67370100,WEB_FLUX
300,1,512,ALL,62791100,WEB_FLUX
300,1,512,ALL,108915600,WEB_FLUX
300,1,512,ALL,74677700,WEB_FLUX
300,1,512,ALL,111454700,WEB_FLUX
300,1,512,ALL,73161500,WEB_FLUX
300,1,512,ALL,75751600,WEB_FLUX
300,1,512,ALL,78260700,WEB_FLUX

300,1,1024,ALL,715553000,WEB_FLUX
300,1,1024,ALL,101214300,WEB_FLUX
300,1,1024,ALL,64760300,WEB_FLUX
300,1,1024,ALL,65121500,WEB_FLUX
300,1,1024,ALL,68934700,WEB_FLUX
300,1,1024,ALL,80728300,WEB_FLUX
300,1,1024,ALL,100232600,WEB_FLUX
300,1,1024,ALL,107107700,WEB_FLUX
300,1,1024,ALL,115726200,WEB_FLUX
300,1,1024,ALL,75802200,WEB_FLUX

300,1,5000,ALL,742885700,WEB_FLUX
300,1,5000,ALL,73479500,WEB_FLUX
300,1,5000,ALL,93599900,WEB_FLUX
300,1,5000,ALL,112530200,WEB_FLUX
300,1,5000,ALL,85507800,WEB_FLUX
300,1,5000,ALL,79036000,WEB_FLUX
300,1,5000,ALL,123241700,WEB_FLUX
300,1,5000,ALL,70770600,WEB_FLUX
300,1,5000,ALL,121488800,WEB_FLUX
300,1,5000,ALL,81806300,WEB_FLUX

300,1,10000,ALL,716558000,WEB_FLUX
300,1,10000,ALL,104392300,WEB_FLUX
300,1,10000,ALL,69294400,WEB_FLUX
